Dataset	Random-mean	P-value
0	0.08377172	5.923094338443903e-17
1	0.08270024	4.3060380857673887e-16
2	0.08393123	4.390978564147484e-17
3	0.08283625	3.3562005070789953e-16
4	0.0841407	2.959268952891725e-17
5	0.08340388	1.1765297244248933e-16
6	0.08568954	1.515111523639201e-18
7	0.08494764	6.365939860973558e-18
8	0.08599008	8.418533582716494e-19
9	0.08386079	5.0120919025722845e-17
10	0.08539614	2.6798569501461098e-18
11	0.08237167	7.837391827659422e-16
12	0.08457406	1.3007886519782714e-17
13	0.08475335	9.237737258261896e-18
14	0.08568462	1.5297123394045835e-18
15	0.08369711	6.810771804035149e-17
16	0.08473532	9.561776026043721e-18
17	0.08364711	7.477987094973122e-17
18	0.08585042	1.1066771198359055e-18
19	0.08376283	6.02254604368603e-17
20	0.08578837	1.2493677038540491e-18
21	0.08260949	5.082861668388356e-16
22	0.08374705	6.203157244587243e-17
23	0.08463082	1.1673732269108724e-17
24	0.08424861	2.4132345250574527e-17
25	0.08332341	1.366117946397906e-16
26	0.08540269	2.646053194846049e-18
27	0.08494304	6.422417228032945e-18
28	0.08534244	2.973599912191756e-18
29	0.08383898	5.221457576748999e-17
30	0.08353551	9.209144571419316e-17
31	0.08216906	1.1313308146428618e-15
32	0.08591953	9.666789282505886e-19
33	0.08333993	1.3248813329272448e-16
34	0.08244096	6.910081922428148e-16
35	0.08419189	2.6865016455240943e-17
36	0.08442787	1.7178864425595844e-17
37	0.08579378	1.2362341799188198e-18
38	0.08928054	1.0796044097328475e-21
39	0.08307981	2.143932134617767e-16
40	0.08552668	2.0801758197738656e-18
41	0.08431451	2.1301075074712945e-17
42	0.08401344	3.76177674021556e-17
43	0.08581059	1.1962913484654152e-18
44	0.08696256	1.2275528695152133e-19
45	0.08628646	4.699681083793415e-19
46	0.08424398	2.4344705781191552e-17
47	0.08434755	2.0007833914688515e-17
48	0.08134877	4.913829287686898e-15
49	0.08554535	2.0060526639673266e-18
50	0.08414063	2.959660087953744e-17
51	0.08313984	1.919009127273469e-16
52	0.08358642	8.375134606675173e-17
53	0.08548735	2.2453065648028594e-18
54	0.0897834	3.766361592948244e-22
55	0.08340041	1.1841404767868172e-16
56	0.0830207	2.3908085143826918e-16
57	0.08289594	3.007775069264253e-16
58	0.0849328	6.549926758865874e-18
59	0.08223484	1.0044157033962476e-15
60	0.08290181	2.9755045819092e-16
61	0.08304743	2.275871786512145e-16
62	0.08500952	5.65229537434498e-18
63	0.08261752	5.008880059653685e-16
64	0.08261754	5.008697130875354e-16
65	0.08535932	2.877987208204467e-18
66	0.08507901	4.944909791107298e-18
67	0.08395947	4.1639128478151586e-17
68	0.08472198	9.808737661833231e-18
69	0.08314505	1.900625174108961e-16
70	0.08320914	1.6882258419491124e-16
71	0.08326334	1.5270375457811476e-16
72	0.08585245	1.1022921736913197e-18
73	0.0844086	1.7819208535612732e-17
74	0.0861821	5.772731108660009e-19
