Dataset	Random-mean	P-value
0	0.6065843	5.3383116642814566e-09
1	0.6122082	4.2645704306272504e-08
2	0.5997052	3.601792124412482e-10
3	0.6065475	5.264234788188011e-09
4	0.607868	8.66512208270793e-09
5	0.6048412	2.7392662995060903e-09
6	0.5967607	1.0793558068203102e-10
7	0.6116805	3.526256455477446e-08
8	0.6052246	3.175230767816857e-09
9	0.602184	9.701589039160014e-10
10	0.607711	8.169285295182596e-09
11	0.6028018	1.2377270899792565e-09
12	0.6076871	8.096271006265707e-09
13	0.6123369	4.466261597704444e-08
14	0.6108181	2.5789246369228467e-08
15	0.6093044	1.4794844191294354e-08
16	0.604171	2.113319674508195e-09
17	0.6057066	3.820213260200741e-09
18	0.6015473	7.537201144538402e-10
19	0.6096168	1.660395894994469e-08
20	0.6056947	3.802849541226534e-09
21	0.6029975	1.3366284172273333e-09
22	0.6030635	1.37169247342799e-09
23	0.6025181	1.1069340146620893e-09
24	0.6065557	5.280653759968475e-09
25	0.6064034	4.983694878010707e-09
26	0.6045427	2.440836267810378e-09
27	0.610597	2.3791074952462736e-08
28	0.6081083	9.481308095289924e-09
29	0.5990473	2.7588468175876537e-10
30	0.6047942	2.6900210110601762e-09
31	0.6025409	1.1169258704125863e-09
32	0.6037788	1.8142984029929675e-09
33	0.6010406	6.15909551045805e-10
34	0.5963025	8.923652141037524e-11
35	0.6080387	9.23750276958891e-09
36	0.6028956	1.284204678872417e-09
37	0.6003741	4.715939565140949e-10
38	0.606023	4.311324011793183e-09
39	0.6033997	1.564729108316349e-09
40	0.5996517	3.52474136072659e-10
41	0.5997311	3.6396829988691124e-10
42	0.6066953	5.5679598914081886e-09
43	0.6006118	5.187978092089963e-10
44	0.5999962	4.050645484067964e-10
45	0.6083731	1.0467497503029635e-08
46	0.6084198	1.0651491961434833e-08
47	0.6021383	9.527843224195501e-10
48	0.6168103	2.1435074324134645e-07
49	0.6043831	2.2945481602847546e-09
50	0.6084182	1.0645136285389175e-08
51	0.603727	1.7780340345724897e-09
52	0.6052197	3.169253561671003e-09
53	0.6053317	3.3086576421139025e-09
54	0.6041697	2.112253184223903e-09
55	0.6026154	1.1501930493275974e-09
56	0.6072456	6.856435222514643e-09
57	0.6114007	3.186830162263988e-08
58	0.6078013	8.450987522076584e-09
59	0.6059726	4.229164652277866e-09
60	0.6115676	3.3852664433564446e-08
61	0.6054984	3.5272886579171865e-09
62	0.6064603	5.092683641066546e-09
63	0.6041654	2.1087293048154772e-09
64	0.6038144	1.8396391437267758e-09
65	0.6101099	1.9905824416990604e-08
66	0.6007667	5.520137052693319e-10
67	0.6070936	6.474039934547378e-09
68	0.6057011	3.8121784205560655e-09
69	0.6066502	5.473513474259191e-09
70	0.6106607	2.435077194174216e-08
71	0.6009452	5.928738109582882e-10
72	0.610296	2.1311229097232432e-08
73	0.6041633	2.1070104272000422e-09
74	0.6068414	5.884956339000431e-09
75	0.5973251	1.3630135973125356e-10
76	0.6054657	3.483319113034243e-09
77	0.6040632	2.0266450050253016e-09
