Dataset	Random-mean	P-value
0	0.03889744	0.02906944392037763
1	0.04106272	0.06407511986114109
2	0.040428	0.05133102577111021
3	0.04143331	0.07265728699567467
4	0.03858013	0.02568177626670258
5	0.04098735	0.062436587945915
6	0.04114832	0.06597904393361594
7	0.03971407	0.03960849175714156
8	0.04010692	0.04574075218216469
9	0.03946199	0.036053800413659895
10	0.03975186	0.040166274877969275
11	0.03919616	0.032604122880656554
12	0.04205525	0.08916346397875817
13	0.03965841	0.038798953203734374
14	0.041627449999999996	0.07751674153123742
15	0.0409297	0.061206862619732134
16	0.04360796	0.14370498740642507
17	0.03986299	0.041845397488390904
18	0.04053414	0.05330071245241526
19	0.03926256	0.03343811574349074
20	0.04084641	0.05946577433475733
21	0.04148006	0.07380401137975481
22	0.03766295	0.017742042864230995
23	0.03915827	0.032136268805110585
24	0.04081016	0.05872097439164453
25	0.03985475	0.04171888297931448
26	0.04171786	0.07986865986429942
27	0.03965979	0.038818852773383344
28	0.04160681	0.07698781943316559
29	0.0385537	0.0254157060483088
30	0.04221224	0.09377665692687732
31	0.04046049	0.051927365768707046
32	0.04084991	0.05953810008442143
33	0.0367842	0.012246385593966248
34	0.03911189	0.03157144234445831
35	0.03992058	0.04273873495027815
36	0.04151945	0.07478167717133655
37	0.04026416	0.048410674823428645
38	0.04189449	0.08463113905446665
39	0.03877375	0.027705610811388025
40	0.04005494	0.044885941478208215
41	0.03824083	0.02244324723632758
42	0.03979184	0.040763637350696345
43	0.0402916	0.04888979567621018
44	0.04351224	0.13973166016769453
45	0.04120516	0.06726891794379626
46	0.04037762	0.0504176911758246
47	0.04123201	0.06788542126659977
48	0.04172937	0.0801722079526494
49	0.04108718	0.06461446414703742
50	0.03896416	0.029828876316819502
51	0.04133808	0.07036660215552526
52	0.04264699	0.10755843238554728
53	0.0416019	0.07686243045470798
54	0.04093474	0.06131356215070727
55	0.04008898	0.04544418851985584
56	0.03835224	0.023465031433788773
57	0.04156988	0.0760488066849731
58	0.03979551	0.04081884900217023
59	0.04112218	0.06539274163702015
60	0.04085605	0.059665156822405654
61	0.04238253	0.09899559197037418
62	0.04335576	0.13341937965905196
63	0.04102467	0.06324352489323333
64	0.04181459	0.08244901404316395
65	0.04056409	0.053867820089248016
66	0.0418958	0.08466730251073487
67	0.04022784	0.04778258663963919
68	0.03829182	0.02290598366262059
69	0.04197567	0.08689594529859529
70	0.04035235	0.04996473773997747
71	0.04111124	0.06514864628568869
72	0.04141733	0.0722686836976356
73	0.04163563	0.07772718199930082
74	0.03854986	0.025377248435430315
75	0.04074752	0.05745226351075334
76	0.03920317	0.032691318106121255
77	0.03990494	0.04249454272090842
78	0.04242496	0.10033147530582703
79	0.03916301	0.03219447950522057
80	0.04152045	0.07480663465584986
81	0.04031125	0.049235343944557045
82	0.04000293	0.04404419083428732
83	0.04283399	0.1139604931519888
84	0.04048211	0.05232740170275843
85	0.03816476	0.02176805139912425
86	0.04063697	0.055268930466734235
87	0.04256051	0.10469590471454619
88	0.04229322	0.09623022136908248
89	0.0410789	0.06443147084228287
90	0.04047037	0.05210985662806845
91	0.03902536	0.030540449258567783
92	0.0440173	0.16168202746872018
93	0.04222947	0.09429444266930485
94	0.03973391	0.039900504488944576
95	0.04219138	0.09315284573803259
96	0.04148887	0.07402176269954862
97	0.04152579	0.07494002306805174
98	0.03930984	0.03404304960149119
99	0.03759331	0.017238477725424556
100	0.0403776	0.050417331325666
101	0.04098067	0.06229305671339185
102	0.03887707	0.028840933454988362
103	0.03929322	0.033829341374066034
104	0.04093068	0.06122759767154011
105	0.04250766	0.10297660617962198
106	0.03806658	0.020922844404957435
107	0.04418911	0.16971555349796855
108	0.04233854	0.09762565475245846
109	0.04284259	0.1142620007886164
110	0.04041888	0.0511646685756846
111	0.03829171	0.022904976534121966
112	0.03948365	0.036348143249491725
113	0.040255729999999997	0.04826427737477367
114	0.03990872	0.0425534524116844
115	0.03981684	0.041140997390833586
116	0.04143721	0.0727523873842579
117	0.04255591	0.1045453572337531
118	0.04085221	0.05958566824971052
119	0.0414378	0.07276678325392325
120	0.04014077	0.04630477346960048
121	0.04242562	0.10035236821482736
122	0.04088183	0.060201092351436
123	0.0409342	0.061302122679099055
124	0.0391881	0.03250411382840755
125	0.03973701	0.039946296441370266
126	0.03734176	0.015522657468499061
127	0.04153796	0.075244746241619
128	0.04232361	0.09716417075107651
129	0.03988322	0.04215738396376787
130	0.04036281	0.050151812095677824
131	0.04052384	0.05310683909218177
132	0.04159122	0.07659026636421304
133	0.04047711	0.052234657604725294
134	0.0433762	0.13423113011083426
135	0.03944858	0.035872591488164844
136	0.03971482	0.03961949739181245
137	0.03968646	0.03920514387608835
138	0.03859154	0.025797384641110793
139	0.04331715	0.13189642356221373
140	0.0399607	0.043370584296659694
141	0.03988774	0.04222736022751332
142	0.04211346	0.09085213757222814
143	0.04172322	0.08000990008022446
144	0.04086847	0.05992285660695119
145	0.04295267	0.11817712207761025
146	0.04243172	0.10054563391106436
147	0.04045663	0.05185621444576934
148	0.04097553	0.06218280134235476
149	0.04080378	0.05859069640685807
150	0.04023122	0.047840746425464514
151	0.03957257	0.03757810161324724
152	0.03945107	0.0359061798118742
153	0.03999929	0.04398578302257909
154	0.04126723	0.06870116245909379
155	0.03973484	0.039914237385469994
156	0.03951173	0.03673278225272284
157	0.04017057	0.04680615878239354
158	0.03983094	0.04135513363832369
159	0.03925146	0.033297437914671824
160	0.04274749	0.11096268846930071
161	0.03911238	0.03157736478592284
162	0.0404761	0.052215940032499464
163	0.03801844	0.020518994678921137
164	0.04123318	0.06791239120700321
165	0.03937896	0.034944280480447024
166	0.03719573	0.014597268651493885
167	0.03954469	0.037188695590523464
168	0.04062361	0.055009830759154735
169	0.03750641	0.01662775784026923
170	0.0396506	0.03868649678865606
171	0.04091816	0.06096313493521433
172	0.03968627	0.03920238036770454
173	0.0405112	0.05286972799200831
174	0.0377171	0.018142483544336303
175	0.04196531	0.08660421468438868
176	0.03951393	0.03676306404030961
177	0.03891289	0.02924380177750766
178	0.04182793	0.0828101264330237
179	0.04028577	0.0487876675503225
180	0.0396122	0.038137603499292246
181	0.0400122	0.044193234625469126
182	0.04191009	0.08506260217117469
183	0.04293293	0.1174673899537763
184	0.04078493	0.05820718892272174
185	0.04319451	0.12714838939888856
186	0.03985803	0.041769204190222516
187	0.04191859	0.08529844355670756
188	0.04343518	0.13659491501522422
189	0.04112157	0.06537911133288567
190	0.0379062	0.019603768189537477
191	0.04156953	0.0760399522912218
192	0.03871203	0.027046003400115065
193	0.04339804	0.13510270440099417
194	0.04134016	0.07041599303441205
195	0.03986084	0.04181235568637264
196	0.04186179	0.0837324839286524
197	0.04097816	0.06223919582302515
198	0.0429723	0.11888623790772128
199	0.04334018	0.13280319944184493
200	0.04275357	0.11117134170404873
201	0.04342773	0.13629457139885534
202	0.04333523	0.13260789268928494
203	0.03873703	0.02731152563615265
204	0.03849818	0.02486456286661492
205	0.03929638	0.03386988548167434
206	0.0377864	0.01866651609435763
207	0.0434821	0.13849825257645698
208	0.04304964	0.12171265236556776
209	0.04211651	0.09094132409310907
210	0.03827431	0.022746151703000553
211	0.03973523	0.0399199975380817
212	0.03928392	0.03371025977048458
213	0.04161492	0.07719529419825645
214	0.03660676	0.011341047227059621
215	0.04104748	0.06374096474035308
216	0.04110818	0.06508050594453496
217	0.04349118	0.1388689418989489
218	0.04074577	0.057417149616140396
219	0.03953101	0.036998886628488464
220	0.04080453	0.05860599872783145
221	0.04007378	0.045194191968246075
222	0.03841251	0.024034478121287825
223	0.04382558	0.15306096881547804
224	0.038941869999999996	0.029573283021374453
225	0.03906267	0.030981383849893462
226	0.04021656	0.04758892214485413
227	0.04262674	0.10688263942445919
228	0.04070132	0.056531235993274045
229	0.04133121	0.0702036721618187
230	0.04039485	0.050728504515595595
231	0.04195342	0.08627037769844566
