Dataset	Random-mean	P-value
0	0.1036544	0.04855951583386254
1	0.0980689	0.014497958527743507
2	0.1031758	0.04412034955811618
3	0.0966549	0.010345860992921929
4	0.0988799	0.017492724519596665
5	0.1049269	0.06222273397203683
6	0.1022611	0.03658715654326003
7	0.1036467	0.04848522606676984
8	0.0957798	0.00834251665569852
9	0.101381	0.03040431928103193
10	0.103686	0.04886539739365377
11	0.1023932	0.03760213597411381
12	0.1035702	0.04775233523048978
13	0.1001073	0.023058220519758036
14	0.0994215	0.019783656475252497
15	0.1046989	0.05956334626222452
16	0.103474	0.046843980510516095
17	0.1004494	0.024861289669508384
18	0.1004406	0.024813417646298408
19	0.1006333	0.025880207927704447
20	0.1033512	0.04570567067325387
21	0.0990663	0.01825341652545957
22	0.1018133	0.03331877615136784
23	0.1037042	0.04904230423939782
24	0.1044158	0.05639347920946613
25	0.0997308	0.02120643088836582
26	0.1035654	0.04770666275545936
27	0.1009766	0.027879392994451035
28	0.1040189	0.05218743297099068
29	0.0986528	0.016603687148971227
30	0.0997466	0.021281450257569123
31	0.1027116	0.04014765787452089
32	0.0989637	0.017831193423695782
33	0.1030231	0.04277831783567247
34	0.1033684	0.045863687787008736
35	0.1016287	0.03204616762668026
36	0.1004485	0.024856389989818282
37	0.1026884	0.03995735580984577
38	0.099604	0.02061269268820592
39	0.0980957	0.014589177295391982
40	0.100955	0.027749783738974243
41	0.1023094	0.0369555192583545
42	0.1023355	0.03715588651923511
43	0.1059769	0.07577043479814898
44	0.1029742	0.042355930784692054
45	0.1047061	0.05964585812413334
46	0.1040562	0.05257117878560222
47	0.1047269	0.05988475970475232
48	0.0970347	0.011341530345180383
49	0.0993328	0.019391366545078774
50	0.1026224	0.039420168859432274
51	0.1082848	0.11406338881926806
52	0.0959425	0.008686324665122183
53	0.1001863	0.023464169779998007
54	0.10028	0.02395370375662082
55	0.1096925	0.1440628865459792
56	0.1020353	0.03490639386280649
57	0.1042816	0.05494074639940933
58	0.1038527	0.05050597551320121
59	0.0985803	0.016328367191481532
60	0.1036425	0.04844474471196866
